timestamp,utilizacion,context_utilizacion-turno,date
1624302000000,16.59923611,{},2021-06-21 14:00:00-05:00
1624273200000,53.49888889,{},2021-06-21 06:00:00-05:00
1624129200000,41.22114583,{},2021-06-19 14:00:00-05:00
1624100400000,44.654375,{},2021-06-19 06:00:00-05:00
1624042800000,38.466875,{},2021-06-18 14:00:00-05:00
1624014000000,29.07234375,{'comment': 'MUCHA PRDIDA DE TIEMPO POR DISEÃ‘OS SUSPENDIDOS DOS POR GRABACION Y UNO POR RAYAS EN EL  ESTAMPADO '},2021-06-18 06:00:00-05:00
1623956400000,46.61229167,{},2021-06-17 14:00:00-05:00
1623927600000,31.65109375,{},2021-06-17 06:00:00-05:00
1623870000000,33.27069444,{},2021-06-16 14:00:00-05:00
1623841200000,48.68222222,{},2021-06-16 06:00:00-05:00
1623783600000,40.24986111,{},2021-06-15 14:00:00-05:00
1623754800000,40.22708333,{},2021-06-15 06:00:00-05:00
1623668400000,25.67638889,{},2021-06-14 06:00:00-05:00
1623524400000,36.989375,{},2021-06-12 14:00:00-05:00
1623495600000,48.82614583,{},2021-06-12 06:00:00-05:00
1623438000000,45.32635417,{},2021-06-11 14:00:00-05:00
1623409200000,48.92614583,{},2021-06-11 06:00:00-05:00
1623351600000,39.14348958,{},2021-06-10 14:00:00-05:00
1623322800000,37.486875,{},2021-06-10 06:00:00-05:00
1623265200000,49.13138889,{},2021-06-09 14:00:00-05:00
1623236400000,40.16583333,{'comment': 'SE PIERDE  MUCHO TIEMPO MATIZANDO COLO DE MAQUILA'},2021-06-09 06:00:00-05:00
1623178800000,45.92652778,{},2021-06-08 14:00:00-05:00
1623150000000,47.97388889,{},2021-06-08 06:00:00-05:00
1623063600000,45.45666667,{},2021-06-07 06:00:00-05:00
1622977200000,1.115416667,{},2021-06-06 06:00:00-05:00
1622919600000,50.04770833,{},2021-06-05 14:00:00-05:00
1622890800000,50.82548611,{},2021-06-05 06:00:00-05:00
1622833200000,42.95798611,{},2021-06-04 14:00:00-05:00
1622804400000,64.5034375,{},2021-06-04 06:00:00-05:00
1622746800000,35.82673611,{},2021-06-03 14:00:00-05:00
1622718000000,32.43114583,{},2021-06-03 06:00:00-05:00
1622660400000,48.33828125,{},2021-06-02 14:00:00-05:00
1622631600000,39.63432292,{},2021-06-02 06:00:00-05:00
1622574000000,48.2434375,{'comment': 'SE PIERDE TIEMPO POR COLORES SIN COLAR Y POR PROBLEMAS CON EL AGUA MUY POCA PRESION'},2021-06-01 14:00:00-05:00
1622545200000,38.07515625,{},2021-06-01 06:00:00-05:00
